FlightDestination,FlightSource,Departure,Landing,SecurityPersonID
London,Madrid,05/27/2023 03:15:00,05/27/2023 08:15:00,319387051
London,Dubai,12/02/2024 21:00,12/03/2024 09:00,970265721
Tokyo,Madrid,01/11/2024 09:15,01/11/2024 11:15,614540730
Paris,Madrid,01/10/2021 09:15,01/10/2021 11:15,741913314
Paris,Tel Aviv,08/29/2023 16:45:00,08/30/2023 02:45:00,722942691
London,Dubai,04/08/2024 01:45,04/08/2024 05:45,425447861
New York,Athens,12/29/2022 07:30:00,12/29/2022 17:30:00,907503327
New York,Athens,12/01/2023 17:00,12/01/2023 20:00,616681977
London,Madrid,09/05/2024 05:30,09/05/2024 14:30,323682291
Berlin,Madrid,10/19/2020 04:00:00,10/19/2020 12:00:00,576308969
Berlin,Madrid,07/04/2023 05:15,07/04/2023 08:15,226527626
London,Rome,10/02/2021 22:15,10/03/2021 04:15,649108145
Berlin,Tel Aviv,09/11/2021 12:45,09/11/2021 18:45,774292628
London,Dubai,05/12/2021 15:15,05/13/2021 00:15:00,525461861
Berlin,Dubai,12/24/2024 13:15:00,12/24/2024 16:15:00,839805720
Tokyo,Tel Aviv,02/15/2021 20:45:00,02/16/2021 01:45:00,613763527
Tokyo,Dubai,06/02/2021 05:30,06/02/2021 15:30,284201269
London,Madrid,07/06/2020 13:15,07/06/2020 17:15,299112453
Tokyo,Tel Aviv,02/18/2020 18:30:00,02/18/2020 22:30:00,930456301
Berlin,Dubai,02/11/2024 01:00,02/11/2024 12:00,362731402
Tokyo,Tel Aviv,11/13/2021 06:30:00,11/13/2021 08:30:00,887499774
Paris,Athens,09/03/2020 09:45,09/03/2020 21:45,650351556
London,Tel Aviv,01/17/2020 09:30:00,01/17/2020 17:30:00,644422920
New York,Rome,06/17/2021 09:00:00,06/17/2021 16:00:00,599438968
Paris,Rome,06/14/2023 16:15:00,06/14/2023 23:15:00,339646919
Tokyo,Dubai,08/27/2020 21:45:00,08/28/2020 08:45:00,621111076
Berlin,Rome,02/10/2021 22:15,02/11/2021 08:15,639228756
Tokyo,Tel Aviv,11/17/2024 17:30:00,11/18/2024 00:30:00,992905560
New York,Athens,08/03/2023 04:00,08/03/2023 11:00,841015960
Berlin,Rome,04/24/2020 11:30:00,04/24/2020 18:30:00,789368864
Tokyo,Athens,03/24/2022 03:15:00,03/24/2022 07:15:00,282452340
Tokyo,Dubai,03/21/2022 04:30:00,03/21/2022 16:30:00,304525893
Paris,Athens,09/14/2023 15:45:00,09/15/2023 01:45:00,649836923
Berlin,Tel Aviv,09/27/2024 05:30:00,09/27/2024 11:30:00,175075744
New York,Athens,04/15/2024 04:45:00,04/15/2024 14:45:00,304525893
Tokyo,Madrid,11/18/2023 01:00:00,11/18/2023 05:00:00,603638893
New York,Tel Aviv,07/07/2024 21:30,07/08/2024 01:30,217392997
New York,Dubai,12/07/2021 04:30,12/07/2021 06:30,851546945
Paris,Madrid,01/16/2022 23:30:00,01/17/2022 02:30:00,528810734
New York,Dubai,02/21/2024 08:30:00,02/21/2024 11:30:00,599438968
New York,Rome,10/27/2023 15:45:00,10/27/2023 19:45:00,596609003
New York,Madrid,07/23/2024 09:15:00,07/23/2024 17:15:00,343580225
Paris,Dubai,11/27/2024 11:30:00,11/27/2024 22:30:00,818686714
Berlin,Tel Aviv,01/10/2022 16:45,01/11/2022 01:45,665517495
London,Dubai,11/04/2022 18:30,11/04/2022 22:30,203156001
London,Rome,07/01/2024 03:30,07/01/2024 10:30,413891210
Paris,Madrid,03/08/2022 19:15,03/09/2022 04:15,937969978
New York,Rome,01/30/2023 13:15:00,01/30/2023 23:15:00,295418556
London,Dubai,05/23/2020 17:15:00,05/23/2020 22:15:00,789368864
Tokyo,Dubai,09/25/2021 17:45:00,09/25/2021 20:45:00,269950200
Tokyo,Athens,08/06/2023 12:00,08/06/2023 23:00,158608475
Paris,Dubai,08/28/2024 09:45:00,08/28/2024 16:45:00,107624827
London,Madrid,04/27/2022 15:30:00,04/27/2022 17:30:00,851546945
Tokyo,Madrid,01/27/2020 21:00:00,01/28/2020 06:00:00,644422920
London,Rome,12/31/2021 08:00:00,12/31/2021 17:00:00,887471471
Paris,Rome,10/11/2020 13:00,10/11/2020 21:00,621111076
London,Rome,07/22/2023 08:00:00,07/22/2023 18:00:00,543694018
Berlin,Athens,07/05/2024 09:45,07/05/2024 16:45,378639005
Berlin,Dubai,06/01/2023 00:15,06/01/2023 03:15,531900334
Tokyo,Athens,01/23/2020 12:15:00,01/23/2020 20:15:00,644422920
London,Rome,08/31/2024 14:00:00,09/01/2024 02:00,709262566
New York,Athens,02/09/2023 01:00,02/09/2023 06:00,225339842
Berlin,Madrid,01/17/2020 06:15:00,01/17/2020 10:15:00,644422920
London,Rome,08/17/2023 04:45:00,08/17/2023 08:45:00,542569338
London,Athens,02/22/2023 05:00:00,02/22/2023 14:00:00,288569802
Tokyo,Rome,03/10/2022 06:30,03/10/2022 10:30,413891210
New York,Athens,01/10/2020 04:15,01/10/2020 11:15,644422920
Berlin,Rome,09/23/2020 01:45:00,09/23/2020 03:45:00,385993825
Berlin,Dubai,10/14/2024 12:00:00,10/14/2024 17:00:00,122515070
Paris,Dubai,05/14/2022 23:15:00,05/15/2022 03:15:00,631506193
London,Rome,10/03/2021 07:00,10/03/2021 11:00,986721727
Berlin,Madrid,08/20/2022 04:15:00,08/20/2022 16:15:00,413891210
London,Dubai,07/17/2022 09:00:00,07/17/2022 19:00:00,465215525
Paris,Dubai,02/03/2023 12:45,02/03/2023 14:45,603638893
Paris,Tel Aviv,11/26/2024 12:30:00,11/26/2024 16:30:00,667677004
Paris,Tel Aviv,01/25/2023 05:30:00,01/25/2023 15:30:00,598623657
Tokyo,Athens,06/08/2020 01:00,06/08/2020 10:00,930456301
Tokyo,Rome,03/27/2023 18:00:00,03/28/2023 02:00:00,650351556
Berlin,Tel Aviv,05/15/2020 22:00:00,05/16/2020 03:00:00,644422920
Paris,Athens,03/03/2023 07:45,03/03/2023 17:45,847617704
New York,Madrid,09/18/2022 23:00:00,09/19/2022 08:00:00,526751265
London,Dubai,09/30/2021 10:00:00,09/30/2021 18:00:00,264071872
Berlin,Madrid,07/11/2024 06:45,07/11/2024 14:45,149356089
New York,Madrid,09/02/2022 06:00,09/02/2022 14:00,158608475
Paris,Athens,06/04/2022 08:45,06/04/2022 13:45,339646919
London,Dubai,01/17/2022 13:00:00,01/18/2022 01:00:00,938787370
Berlin,Athens,02/08/2024 03:30,02/08/2024 07:30,699643027
Berlin,Tel Aviv,08/24/2022 14:15:00,08/24/2022 19:15:00,952891525
New York,Athens,06/22/2022 16:45:00,06/22/2022 18:45:00,501479555
Berlin,Madrid,06/24/2024 18:30:00,06/24/2024 21:30:00,306887998
London,Dubai,04/07/2022 13:00,04/07/2022 23:00,905818148
Paris,Madrid,03/27/2020 21:45:00,03/28/2020 06:45:00,650351556
Tokyo,Madrid,12/06/2023 06:15,12/06/2023 14:15,277907133
Tokyo,Tel Aviv,04/24/2022 15:30:00,04/25/2022 01:30:00,877622381
Tokyo,Tel Aviv,04/29/2020 02:15:00,04/29/2020 07:15:00,276046102
Berlin,Tel Aviv,12/02/2024 01:15,12/02/2024 13:15,845771028
Tokyo,Rome,06/12/2022 15:15,06/12/2022 17:15,306887998
New York,Dubai,02/05/2022 21:30,02/06/2022 06:30,977838897
London,Rome,08/03/2024 19:15,08/03/2024 22:15,986721727
New York,Dubai,09/04/2023 08:30,09/04/2023 18:30,907503327
Tokyo,Athens,03/04/2024 08:45,03/04/2024 13:45,197486361
New York,Athens,02/07/2024 16:30,02/08/2024 02:30,220538775
New York,Rome,08/09/2024 14:00,08/09/2024 22:00,421217709
Berlin,Dubai,02/23/2022 07:00:00,02/23/2022 12:00:00,876376489
Paris,Tel Aviv,07/10/2022 19:15,07/10/2022 21:15,845771028
Paris,Dubai,11/18/2020 15:45:00,11/18/2020 18:45:00,187394579
Paris,Madrid,06/22/2021 20:15:00,06/23/2021 08:15:00,576308969
London,Madrid,06/29/2023 14:30:00,06/29/2023 20:30:00,282858309
New York,Tel Aviv,06/26/2023 13:15:00,06/26/2023 23:15:00,952878796
Berlin,Athens,03/13/2021 11:00:00,03/13/2021 20:00:00,639228756
New York,Rome,06/01/2023 20:45,06/02/2023 03:45,328527174
Paris,Dubai,01/28/2022 22:30:00,01/29/2022 07:30:00,621111076
Paris,Rome,01/05/2022 04:00,01/05/2022 08:00,243311512
Berlin,Dubai,09/15/2020 20:15:00,09/16/2020 01:15:00,368479317
Tokyo,Tel Aviv,08/29/2021 10:45:00,08/29/2021 16:45:00,364916253
New York,Athens,01/18/2021 17:00:00,01/19/2021 02:00:00,402732116
New York,Dubai,10/05/2022 15:30,10/05/2022 20:30,385993825
Tokyo,Rome,07/20/2023 01:00:00,07/20/2023 11:00:00,629165023
Paris,Rome,08/31/2021 19:00:00,08/31/2021 21:00:00,269950200
New York,Madrid,08/16/2022 06:15:00,08/16/2022 14:15:00,936286682
Berlin,Madrid,10/12/2022 00:30,10/12/2022 02:30,430185363
Tokyo,Tel Aviv,03/23/2024 16:30:00,03/24/2024 01:30:00,101127092
Paris,Tel Aviv,03/27/2020 03:45:00,03/27/2020 14:45:00,501479555
Tokyo,Dubai,01/26/2022 09:45:00,01/26/2022 21:45:00,295418556
New York,Tel Aviv,01/10/2020 04:30,01/10/2020 08:30,644422920
London,Rome,09/25/2024 21:15:00,09/26/2024 05:15:00,299112453
Berlin,Dubai,01/17/2023 13:15:00,01/18/2023 00:15:00,107695765
Berlin,Athens,07/21/2021 08:45:00,07/21/2021 14:45:00,477767258
New York,Tel Aviv,08/30/2024 15:00:00,08/30/2024 20:00:00,564489506
Berlin,Tel Aviv,04/01/2024 22:45,04/02/2024 10:45,368479317
Tokyo,Rome,09/28/2024 06:45:00,09/28/2024 15:45:00,380775898
New York,Athens,08/15/2024 00:00:00,08/15/2024 12:00:00,161815773
Berlin,Athens,07/25/2022 03:15:00,07/25/2022 15:15:00,986721727
London,Tel Aviv,08/04/2023 21:00,08/05/2023 00:00,303712976
London,Dubai,12/03/2020 06:00,12/03/2020 12:00,613763527
Paris,Tel Aviv,06/07/2022 06:30,06/07/2022 13:30,264071872
Paris,Dubai,04/28/2021 00:00:00,04/28/2021 08:00:00,192998447
Paris,Rome,06/24/2020 13:15:00,06/24/2020 16:15:00,223107124
Paris,Dubai,11/30/2023 01:15:00,11/30/2023 12:15:00,382393706
Paris,Madrid,11/23/2023 16:15:00,11/24/2023 00:15:00,560156074
New York,Athens,09/15/2022 09:00:00,09/15/2022 16:00:00,299112453
Berlin,Athens,06/09/2024 21:15,06/10/2024 07:15,793619389
Paris,Madrid,12/14/2024 17:45:00,12/14/2024 21:45:00,771275020
Paris,Rome,02/03/2024 12:45,02/03/2024 21:45,358556040
London,Tel Aviv,11/18/2022 03:45:00,11/18/2022 12:45:00,342825161
New York,Tel Aviv,11/19/2022 02:30:00,11/19/2022 09:30:00,306156944
Paris,Rome,08/27/2021 07:30:00,08/27/2021 10:30:00,709262566
Berlin,Athens,07/12/2022 15:45,07/13/2022 01:45:00,992002299
Paris,Madrid,01/11/2020 09:00,01/11/2020 14:00,644422920
London,Rome,12/30/2022 23:00:00,12/31/2022 03:00:00,568176456
Berlin,Dubai,01/04/2021 22:30,01/05/2021 05:30,943023224
Berlin,Dubai,06/29/2021 12:30:00,06/29/2021 19:30:00,276046102
Berlin,Madrid,06/01/2024 00:45,06/01/2024 02:45,678497265
Paris,Athens,08/04/2022 13:00,08/04/2022 21:00,704967638
Tokyo,Rome,12/21/2021 16:45:00,12/22/2021 03:45:00,847617704
New York,Dubai,11/27/2023 07:15:00,11/27/2023 19:15:00,346671124
Berlin,Dubai,11/25/2023 18:15:00,11/25/2023 23:15:00,524501471
Paris,Rome,12/27/2022 19:45:00,12/27/2022 23:45:00,362731402
Tokyo,Rome,07/26/2024 07:15:00,07/26/2024 09:15:00,598623657
London,Rome,04/11/2020 10:00,04/11/2020 16:00,789368864
London,Madrid,12/08/2023 00:00,12/08/2023 05:00,891752573
Paris,Dubai,08/25/2024 04:30:00,08/25/2024 14:30:00,116178982
Berlin,Athens,01/22/2024 21:00:00,01/23/2024 04:00:00,333807921
Tokyo,Athens,10/23/2024 04:30:00,10/23/2024 15:30:00,227781320
Tokyo,Dubai,08/31/2024 13:30:00,09/01/2024 00:30,245022088
Berlin,Tel Aviv,11/08/2024 16:45,11/08/2024 21:45,401479835
Paris,Rome,06/08/2022 11:00,06/08/2022 15:00,139156991
New York,Tel Aviv,10/03/2024 16:00,10/03/2024 22:00,565097440
New York,Dubai,01/27/2020 04:30:00,01/27/2020 06:30:00,644422920
Berlin,Rome,09/03/2023 08:45,09/03/2023 17:45,378639005
Tokyo,Rome,12/11/2021 03:00,12/11/2021 05:00,613763527
London,Dubai,01/22/2021 17:45:00,01/23/2021 04:45:00,526751265
Berlin,Athens,05/16/2022 15:00:00,05/17/2022 01:00:00,860018814
Berlin,Dubai,10/20/2020 23:45:00,10/21/2020 03:45:00,564489506
Berlin,Tel Aviv,03/17/2023 09:00:00,03/17/2023 19:00:00,307717264
New York,Madrid,04/12/2023 03:45,04/12/2023 06:45,602407236
New York,Dubai,03/20/2024 16:30:00,03/21/2024 03:30:00,364101718
London,Rome,08/13/2020 01:00:00,08/13/2020 07:00:00,282452340
Tokyo,Tel Aviv,10/08/2020 03:15,10/08/2020 09:15,887499774
New York,Rome,03/25/2020 17:15:00,03/25/2020 23:15:00,276046102
Tokyo,Madrid,03/31/2023 23:45:00,04/01/2023 06:45,274499861
Berlin,Dubai,12/21/2023 00:30:00,12/21/2023 11:30:00,204574187
New York,Rome,03/13/2024 19:45:00,03/14/2024 00:45:00,386228422
Berlin,Athens,07/12/2022 07:30,07/12/2022 10:30,571479027
London,Dubai,12/27/2020 21:30:00,12/27/2020 23:30:00,351764977
Paris,Madrid,05/15/2024 09:45:00,05/15/2024 17:45:00,930456301
Berlin,Madrid,03/20/2024 18:15:00,03/21/2024 01:15:00,887058098
London,Athens,07/31/2020 03:45:00,07/31/2020 08:45:00,621111076
Berlin,Athens,11/19/2021 07:45:00,11/19/2021 17:45:00,216059858
Berlin,Dubai,04/16/2021 18:30:00,04/16/2021 22:30:00,943023224
New York,Madrid,04/09/2022 16:15,04/10/2022 03:15,465215525
Berlin,Madrid,12/20/2020 18:15:00,12/20/2020 23:15:00,999272059
London,Rome,05/02/2020 07:00,05/02/2020 16:00,501479555
Paris,Athens,12/15/2024 15:15:00,12/15/2024 22:15:00,781670536
New York,Athens,11/21/2023 03:30:00,11/21/2023 10:30:00,650351556
New York,Dubai,09/30/2021 14:30:00,09/30/2021 23:30:00,401479835
New York,Athens,06/02/2020 04:30,06/02/2020 08:30,150613179
Berlin,Dubai,07/01/2023 10:45,07/01/2023 18:45,599438968
Paris,Rome,12/15/2021 13:45:00,12/15/2021 18:45:00,938787370
Berlin,Rome,06/27/2021 21:00:00,06/28/2021 03:00:00,150613179
Paris,Tel Aviv,01/18/2021 10:00:00,01/18/2021 18:00:00,599438968
New York,Madrid,09/18/2024 02:00:00,09/18/2024 13:00:00,736572780
New York,Tel Aviv,03/29/2020 12:15:00,03/29/2020 21:15:00,276046102
Berlin,Dubai,07/17/2023 16:30:00,07/17/2023 19:30:00,243311512
Berlin,Madrid,04/17/2024 02:45:00,04/17/2024 06:45:00,542818454
Tokyo,Rome,06/11/2020 22:30,06/12/2020 03:30,644422920
New York,Tel Aviv,06/02/2020 23:00,06/03/2020 11:00,484100594
New York,Rome,01/06/2023 00:45,01/06/2023 09:45,804478513
Tokyo,Tel Aviv,11/15/2022 10:15:00,11/15/2022 14:15:00,158608475
Berlin,Dubai,11/15/2022 20:15:00,11/16/2022 07:15:00,877622381
New York,Madrid,07/17/2022 11:00:00,07/17/2022 20:00:00,299112453
Tokyo,Madrid,04/05/2023 20:30,04/06/2023 07:30,362731402
Berlin,Dubai,12/15/2020 18:15:00,12/16/2020 02:15:00,409277460
Tokyo,Dubai,04/07/2021 05:45,04/07/2021 11:45,665517495
Berlin,Dubai,07/21/2022 05:30:00,07/21/2022 14:30:00,753817871
New York,Tel Aviv,09/25/2023 05:30:00,09/25/2023 09:30:00,781670536
London,Athens,11/03/2023 13:45,11/03/2023 22:45,986546876
Paris,Tel Aviv,09/24/2024 06:30:00,09/24/2024 11:30:00,332008288
New York,Athens,08/10/2023 01:45,08/10/2023 10:45,753817871
Paris,Madrid,10/24/2020 14:00:00,10/25/2020 00:00:00,839805720
New York,Athens,12/23/2024 11:00:00,12/23/2024 23:00:00,145830306
