SecurityPersonID,AreaID,ShiftID
217214616,183,42
619976654,290,337
958117510,200,115
809566416,295,73
524501471,16,36
977278935,344,121
484100594,5,57
235714892,202,2
126766993,54,124
241853531,391,340
937969978,163,273
644422920,213,81
793768662,377,1
667649847,66,34
158608475,270,294
804478513,69,69
526751265,12,302
542818454,334,278
251215843,274,250
568176456,249,15
650351556,397,270
599256224,400,238
957859267,348,44
883226645,323,165
613763527,315,158
584507905,234,267
409277460,234,274
484100594,156,236
613763527,120,393
192998447,270,70
878489732,284,49
878489732,390,141
644422920,38,110
943023224,189,283
644422920,276,323
931108303,274,3
804478513,166,396
203156001,28,4
142208759,284,257
217214616,133,119
425447861,68,169
735478217,337,210
354272848,257,327
354272848,30,370
116178982,244,94
982619310,52,200
400202139,236,94
525461861,23,268
978636166,159,62
890240481,394,240
825955328,189,310
523774700,93,303
549795782,176,305
957859267,84,273
216059858,322,90
491480780,134,277
235714892,371,17
667649847,166,89
385993825,54,222
747924810,341,2
587243834,43,78
613763527,131,24
696015240,154,381
936286682,147,190
619976654,158,1
841309164,341,48
277907133,390,280
584507905,307,396
667677004,213,114
333807921,341,318
117301284,137,285
203156001,166,126
254728328,294,233
216059858,100,352
633966558,58,392
491480780,18,135
149356089,397,396
613763527,61,241
977278935,371,235
604553098,115,203
235714892,394,168
930456301,295,372
644422920,20,11
977278935,296,4
187394579,346,113
430185363,232,108
605713052,107,204
825955328,194,102
958117510,100,8
